// Command: ./KChihoon_thd.exe 10000000 50 50

Part1 ---> sum: 50000005000000 

Part 2 ------> Parent : Start of  Execution------
 Child thread number 0: 	 child start=1 	 end = 200000 	 sum = 20000100000 
 Child thread number 3: 	 child start=600001 	 end = 800000 	 sum = 140000100000 
 Child thread number 7: 	 child start=1400001 	 end = 1600000 	 sum = 300000100000 
 Child thread number 5: 	 child start=1000001 	 end = 1200000 	 sum = 220000100000 
 Child thread number 10: 	 child start=2000001 	 end = 2200000 	 sum = 420000100000 
 Child thread number 9: 	 child start=1800001 	 end = 2000000 	 sum = 380000100000 
 Child thread number 1: 	 child start=200001 	 end = 400000 	 sum = 60000100000 
 Child thread number 2: 	 child start=400001 	 end = 600000 	 sum = 100000100000 
 Child thread number 8: 	 child start=1600001 	 end = 1800000 	 sum = 340000100000 
 Child thread number 11: 	 child start=2200001 	 end = 2400000 	 sum = 460000100000 
 Child thread number 12: 	 child start=2400001 	 end = 2600000 	 sum = 500000100000 
 Child thread number 13: 	 child start=2600001 	 end = 2800000 	 sum = 540000100000 
 Child thread number 14: 	 child start=2800001 	 end = 3000000 	 sum = 580000100000 
 Child thread number 15: 	 child start=3000001 	 end = 3200000 	 sum = 620000100000 
 Child thread number 17: 	 child start=3400001 	 end = 3600000 	 sum = 700000100000 
 Child thread number 18: 	 child start=3600001 	 end = 3800000 	 sum = 740000100000 
 Child thread number 19: 	 child start=3800001 	 end = 4000000 	 sum = 780000100000 
 Child thread number 20: 	 child start=4000001 	 end = 4200000 	 sum = 820000100000 
 Child thread number 16: 	 child start=3200001 	 end = 3400000 	 sum = 660000100000 
 Child thread number 21: 	 child start=4200001 	 end = 4400000 	 sum = 860000100000 
 Child thread number 22: 	 child start=4400001 	 end = 4600000 	 sum = 900000100000 
 Child thread number 23: 	 child start=4600001 	 end = 4800000 	 sum = 940000100000 
 Child thread number 24: 	 child start=4800001 	 end = 5000000 	 sum = 980000100000 
 Child thread number 25: 	 child start=5000001 	 end = 5200000 	 sum = 1020000100000 
 Child thread number 26: 	 child start=5200001 	 end = 5400000 	 sum = 1060000100000 
 Child thread number 27: 	 child start=5400001 	 end = 5600000 	 sum = 1100000100000 
 Child thread number 28: 	 child start=5600001 	 end = 5800000 	 sum = 1140000100000 
 Child thread number 31: 	 child start=6200001 	 end = 6400000 	 sum = 1260000100000 
 Child thread number 30: 	 child start=6000001 	 end = 6200000 	 sum = 1220000100000 
 Child thread number 32: 	 child start=6400001 	 end = 6600000 	 sum = 1300000100000 
 Child thread number 33: 	 child start=6600001 	 end = 6800000 	 sum = 1340000100000 
 Child thread number 39: 	 child start=7800001 	 end = 8000000 	 sum = 1580000100000 
 Child thread number 37: 	 child start=7400001 	 end = 7600000 	 sum = 1500000100000 
 Child thread number 38: 	 child start=7600001 	 end = 7800000 	 sum = 1540000100000 
 Child thread number 36: 	 child start=7200001 	 end = 7400000 	 sum = 1460000100000 
 Child thread number 40: 	 child start=8000001 	 end = 8200000 	 sum = 1620000100000 
 Child thread number 44: 	 child start=8800001 	 end = 9000000 	 sum = 1780000100000 
 Child thread number 42: 	 child start=8400001 	 end = 8600000 	 sum = 1700000100000 
 Child thread number 6: 	 child start=1200001 	 end = 1400000 	 sum = 260000100000 
 Child thread number 4: 	 child start=800001 	 end = 1000000 	 sum = 180000100000 
 Child thread number 29: 	 child start=5800001 	 end = 6000000 	 sum = 1180000100000 
 Child thread number 45: 	 child start=9000001 	 end = 9200000 	 sum = 1820000100000 
 Child thread number 34: 	 child start=6800001 	 end = 7000000 	 sum = 1380000100000 
 Child thread number 35: 	 child start=7000001 	 end = 7200000 	 sum = 1420000100000 
 Child thread number 41: 	 child start=8200001 	 end = 8400000 	 sum = 1660000100000 
 Child thread number 43: 	 child start=8600001 	 end = 8800000 	 sum = 1740000100000 
 Child thread number 46: 	 child start=9200001 	 end = 9400000 	 sum = 1860000100000 
 Child thread number 47: 	 child start=9400001 	 end = 9600000 	 sum = 1900000100000 
 Child thread number 48: 	 child start=9600001 	 end = 9800000 	 sum = 1940000100000 
 Child thread number 49: 	 child start=9800001 	 end = 10000000 	 sum = 1980000100000 
 Parent: Total sum is 50000005000000 
 Parent: End of  Execution
 
Part 3 -----> Parent : Start of  Execution------
